Location,Size (sqft),BHK,Bathrooms,Price (INR),Property Type,Age of Property (years),Furnishing Status,Transaction Type,Floor Number,Total Floors,Parking,Nearby Amenity
Mumbai,1790,2,4,40700000,Villa,9,Furnished,New Booking,10,21,0,Hospital Nearby
Solapur,4384,3,1,3700000,Apartment,16,Unfurnished,Resale,13,25,3,Hospital Nearby
Sangli,2488,1,4,2200000,Apartment,28,Unfurnished,Resale,13,30,1,Swimming Pool
Aurangabad,1821,3,3,36900000,Apartment,7,Unfurnished,Resale,8,8,3,Swimming Pool
Thane,4482,3,3,32400000,Apartment,13,Furnished,New Booking,23,34,3,Park
Nagpur,4621,4,3,29100000,Independent House,28,Semi-furnished,New Booking,19,36,3,Swimming Pool
Amravati,3025,3,2,43900000,Villa,1,Semi-furnished,Resale,1,16,1,Hospital Nearby
Nagpur,4094,3,3,9700000,Independent House,13,Semi-furnished,New Booking,6,34,2,Hospital Nearby
Kolhapur,622,1,1,44800000,Penthouse,12,Furnished,Resale,30,40,3,Gym
Sangli,3669,3,1,44000000,Independent House,12,Furnished,Resale,22,23,2,Swimming Pool
Nagpur,1738,2,1,47900000,Penthouse,25,Furnished,New Booking,17,24,0,Hospital Nearby
Amravati,3344,3,4,26700000,Villa,19,Semi-furnished,New Booking,10,29,3,Mall Nearby
Pune,985,5,3,10400000,Independent House,16,Furnished,New Booking,9,15,2,Mall Nearby
Amravati,3990,1,3,47600000,Studio Apartment,4,Furnished,New Booking,19,40,2,Swimming Pool
Mumbai,3481,1,3,3000000,Villa,5,Furnished,Resale,27,40,2,Gym
Mumbai,3057,4,4,4300000,Penthouse,21,Unfurnished,New Booking,4,34,2,Hospital Nearby
Nagpur,2333,5,4,26700000,Penthouse,13,Semi-furnished,Resale,27,35,0,Park
Thane,3707,3,2,22600000,Independent House,26,Semi-furnished,Resale,24,28,2,Gym
Pune,940,3,4,41700000,Penthouse,23,Furnished,Resale,24,27,2,Swimming Pool
Mumbai,4503,1,3,22600000,Apartment,20,Unfurnished,Resale,13,13,2,Gym
Pune,1501,3,3,36700000,Villa,15,Furnished,New Booking,17,40,1,Mall Nearby
Pune,1800,4,3,10000000,Apartment,2,Unfurnished,New Booking,24,33,1,Gym
Thane,3119,3,3,39800000,Studio Apartment,25,Furnished,New Booking,12,24,3,Mall Nearby
Kolhapur,4307,2,2,24100000,Studio Apartment,28,Unfurnished,Resale,29,39,2,Mall Nearby
Mumbai,2582,4,2,10500000,Apartment,29,Furnished,New Booking,21,33,2,Park
Nashik,2574,2,4,44000000,Independent House,1,Furnished,Resale,21,39,1,School Nearby
Pune,2684,4,1,18000000,Villa,19,Furnished,Resale,14,28,2,Mall Nearby
Pune,4233,5,3,22400000,Apartment,16,Furnished,Resale,13,39,1,Swimming Pool
Amravati,4112,3,1,47000000,Penthouse,15,Semi-furnished,New Booking,13,30,1,School Nearby
Sangli,4468,2,3,38300000,Independent House,1,Furnished,Resale,21,33,2,School Nearby
Solapur,3134,3,2,4000000,Studio Apartment,5,Unfurnished,New Booking,6,6,3,Gym
Kolhapur,1226,3,1,34200000,Studio Apartment,9,Furnished,New Booking,30,40,1,Mall Nearby
Nashik,1435,1,2,10800000,Villa,19,Semi-furnished,New Booking,9,39,1,Mall Nearby
Nashik,780,4,4,25600000,Apartment,29,Furnished,New Booking,4,16,1,School Nearby
Mumbai,4886,2,2,1800000,Apartment,18,Furnished,New Booking,27,31,0,Mall Nearby
Sangli,2606,4,1,12100000,Apartment,25,Furnished,Resale,17,25,3,Hospital Nearby
Nashik,1906,2,1,48600000,Apartment,6,Unfurnished,New Booking,5,28,1,Swimming Pool
Pune,4600,2,1,21800000,Villa,4,Semi-furnished,Resale,3,15,1,Gym
Aurangabad,4759,5,4,41700000,Independent House,20,Furnished,Resale,6,31,3,Park
Pune,3145,2,1,6400000,Independent House,17,Furnished,Resale,19,37,2,Park
Pune,2688,1,4,34600000,Villa,28,Unfurnished,Resale,23,29,3,Park
Nagpur,4501,3,4,27400000,Villa,21,Semi-furnished,Resale,5,32,2,Park
Pune,3419,5,2,21200000,Studio Apartment,5,Unfurnished,Resale,3,35,0,School Nearby
Mumbai,658,1,3,41600000,Independent House,25,Unfurnished,Resale,20,29,2,School Nearby
Thane,4023,4,4,9600000,Studio Apartment,5,Unfurnished,Resale,12,32,0,Hospital Nearby
Kolhapur,2891,3,1,10400000,Villa,0,Unfurnished,New Booking,5,23,0,School Nearby
Aurangabad,2272,5,3,25400000,Apartment,7,Furnished,New Booking,20,28,0,Swimming Pool
Amravati,383,3,3,20800000,Studio Apartment,1,Unfurnished,Resale,11,19,0,School Nearby
Mumbai,4177,3,1,33800000,Penthouse,6,Unfurnished,Resale,7,12,1,School Nearby
Nashik,318,4,4,47400000,Studio Apartment,16,Unfurnished,New Booking,23,24,1,Mall Nearby
Sangli,918,2,4,43600000,Apartment,27,Furnished,Resale,14,15,2,Mall Nearby
Amravati,706,3,2,29900000,Studio Apartment,24,Furnished,New Booking,10,24,0,Mall Nearby
Aurangabad,3826,3,3,30500000,Independent House,22,Unfurnished,New Booking,12,14,2,Park
Nagpur,1364,1,3,23300000,Villa,12,Furnished,New Booking,30,39,3,Park
Pune,3347,4,2,15900000,Apartment,25,Semi-furnished,New Booking,19,29,3,School Nearby
Aurangabad,1213,4,1,24700000,Villa,18,Semi-furnished,New Booking,4,32,2,Swimming Pool
Nashik,3761,4,4,18200000,Villa,25,Furnished,New Booking,10,17,2,School Nearby
Pune,2477,1,1,44600000,Penthouse,30,Unfurnished,New Booking,28,31,2,Hospital Nearby
Solapur,2660,5,3,31900000,Independent House,27,Furnished,Resale,11,38,2,School Nearby
Mumbai,4452,5,4,47600000,Independent House,0,Unfurnished,Resale,19,39,3,School Nearby
Thane,3138,2,4,10700000,Apartment,25,Furnished,Resale,9,16,3,Swimming Pool
Kolhapur,738,5,2,10700000,Apartment,30,Furnished,New Booking,24,27,1,Park
Amravati,4653,3,4,1500000,Penthouse,4,Semi-furnished,New Booking,11,13,2,Swimming Pool
Amravati,2553,5,4,6100000,Penthouse,14,Furnished,New Booking,24,30,3,Hospital Nearby
Aurangabad,2079,2,4,25100000,Apartment,21,Unfurnished,Resale,27,29,2,Gym
Amravati,1055,1,3,30900000,Penthouse,15,Furnished,New Booking,12,24,0,Park
Mumbai,4701,1,4,37900000,Villa,14,Unfurnished,Resale,11,24,0,Park
Thane,2787,3,3,47200000,Independent House,15,Unfurnished,New Booking,27,31,0,Swimming Pool
Aurangabad,2881,3,4,40800000,Studio Apartment,12,Furnished,New Booking,15,38,2,School Nearby
Nashik,3653,4,2,15300000,Studio Apartment,19,Furnished,Resale,10,31,3,Swimming Pool
Kolhapur,1939,1,3,1400000,Villa,1,Unfurnished,Resale,8,32,2,Gym
Nagpur,326,4,2,21700000,Villa,23,Furnished,Resale,10,26,2,Swimming Pool
Mumbai,3721,4,3,16700000,Apartment,3,Furnished,Resale,10,38,2,School Nearby
Thane,1282,1,3,17900000,Independent House,0,Furnished,Resale,23,33,1,Park
Pune,2158,1,4,18500000,Villa,28,Semi-furnished,New Booking,21,27,1,Swimming Pool
Nashik,1692,5,2,7400000,Independent House,3,Furnished,Resale,22,30,2,Swimming Pool
Mumbai,2790,5,2,32300000,Apartment,28,Semi-furnished,Resale,6,39,1,Swimming Pool
Nashik,4196,2,1,17900000,Villa,17,Semi-furnished,New Booking,7,32,1,Park
Amravati,2021,5,4,34300000,Studio Apartment,23,Semi-furnished,New Booking,1,28,0,School Nearby
Nagpur,4339,1,3,5000000,Independent House,21,Furnished,Resale,7,10,2,Swimming Pool
Amravati,779,4,4,6500000,Apartment,24,Unfurnished,New Booking,12,19,1,Park
Pune,700,5,1,47500000,Independent House,10,Unfurnished,Resale,8,27,2,Park
Amravati,2968,5,3,26200000,Villa,18,Unfurnished,Resale,28,37,3,Mall Nearby
Mumbai,1559,4,3,33000000,Studio Apartment,9,Semi-furnished,New Booking,24,29,0,Gym
Thane,4960,4,3,14500000,Studio Apartment,11,Unfurnished,Resale,17,25,2,Mall Nearby
Nashik,1161,2,2,40800000,Apartment,14,Furnished,Resale,12,36,0,Park
Pune,2228,1,2,29200000,Independent House,10,Furnished,Resale,24,32,0,Gym
Aurangabad,1063,2,2,28100000,Penthouse,19,Semi-furnished,Resale,21,38,1,Mall Nearby
Nashik,3801,2,2,48100000,Apartment,15,Semi-furnished,New Booking,8,14,1,Park
Nagpur,4440,5,4,29900000,Penthouse,1,Furnished,Resale,3,11,2,School Nearby
Nagpur,922,1,4,27400000,Penthouse,3,Furnished,Resale,24,25,3,Hospital Nearby
Aurangabad,885,5,2,43500000,Villa,29,Semi-furnished,New Booking,30,34,1,Hospital Nearby
Nashik,4323,5,4,20100000,Penthouse,21,Furnished,New Booking,30,34,2,School Nearby
Mumbai,4642,5,3,43000000,Penthouse,29,Furnished,Resale,26,27,2,Park
Aurangabad,1816,1,2,41900000,Villa,10,Semi-furnished,Resale,13,21,1,School Nearby
Aurangabad,3036,2,4,41300000,Studio Apartment,8,Semi-furnished,New Booking,11,21,1,School Nearby
Sangli,3908,3,2,8700000,Studio Apartment,23,Unfurnished,New Booking,19,30,0,Park
Nashik,2902,3,1,9900000,Villa,4,Unfurnished,Resale,9,17,0,Park
Kolhapur,3193,3,4,48300000,Studio Apartment,9,Furnished,Resale,3,16,2,Hospital Nearby
Amravati,1315,3,4,39800000,Apartment,13,Furnished,New Booking,27,39,0,Mall Nearby
Thane,591,3,1,3900000,Studio Apartment,23,Unfurnished,New Booking,14,21,1,Gym
Nagpur,353,2,3,13500000,Villa,27,Furnished,Resale,26,27,2,Mall Nearby
Solapur,2620,3,1,20300000,Studio Apartment,18,Unfurnished,New Booking,15,37,1,Park
Aurangabad,3781,1,4,21600000,Apartment,10,Semi-furnished,Resale,25,38,0,School Nearby
Pune,4798,4,1,4600000,Penthouse,0,Unfurnished,Resale,27,28,1,Park
Thane,4262,5,1,15400000,Villa,25,Unfurnished,New Booking,25,28,3,School Nearby
Nagpur,3883,2,3,30500000,Villa,1,Unfurnished,Resale,30,34,0,Park
Sangli,4744,3,4,44300000,Villa,11,Semi-furnished,Resale,15,20,2,Swimming Pool
Amravati,2290,4,4,39900000,Penthouse,13,Furnished,Resale,12,13,1,School Nearby
Amravati,2443,4,4,10200000,Independent House,24,Unfurnished,Resale,4,27,2,Park
Nagpur,3958,3,1,26600000,Studio Apartment,8,Semi-furnished,Resale,9,10,2,Gym
Aurangabad,4036,2,3,25400000,Penthouse,5,Semi-furnished,New Booking,16,33,0,School Nearby
Amravati,2156,3,4,43300000,Studio Apartment,13,Semi-furnished,Resale,27,32,1,Mall Nearby
Nashik,4374,4,4,3800000,Studio Apartment,28,Unfurnished,Resale,5,30,0,Park
Amravati,1681,4,2,18500000,Villa,16,Furnished,New Booking,10,18,0,Mall Nearby
Pune,2321,3,1,22500000,Apartment,12,Furnished,New Booking,29,31,2,School Nearby
Sangli,1499,4,2,49000000,Independent House,14,Furnished,Resale,29,38,2,Park
Sangli,3538,4,2,40200000,Apartment,17,Furnished,New Booking,24,27,0,Swimming Pool
Nagpur,3103,2,2,15000000,Apartment,27,Furnished,New Booking,7,9,3,Gym
Mumbai,3765,5,1,45200000,Penthouse,6,Unfurnished,New Booking,16,32,2,Swimming Pool
Amravati,2783,3,3,5500000,Villa,2,Furnished,New Booking,7,14,3,Swimming Pool
Mumbai,4674,5,2,28600000,Penthouse,2,Semi-furnished,Resale,13,23,2,Swimming Pool
Sangli,1594,1,1,31400000,Villa,23,Unfurnished,Resale,3,10,0,Park
